"동별(1)",동별(2),동별(3),2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",광진구,중곡2동,10506,20101,9407,10694,19686,9252,10434,415,155,260
"합계",광진구,중곡3동,8440,15529,7563,7966,15204,7434,7770,325,129,196
"합계",광진구,중곡4동,13190,27237,13087,14150,26778,12907,13871,459,180,279
"합계",광진구,능동,6348,11137,5130,6007,10614,4900,5714,523,230,293
"합계",광진구,광장동,11722,33105,15960,17145,32836,15836,17000,269,124,145
"합계",광진구,자양1동,12147,22429,10716,11713,21442,10302,11140,987,414,573
"합계",광진구,자양2동,12209,26601,12784,13817,26275,12637,13638,326,147,179
"합계",광진구,자양3동,10947,26926,12877,14049,26564,12722,13842,362,155,207
"합계",광진구,자양4동,11380,23298,11175,12123,19873,9674,10199,3425,1501,1924
"합계",광진구,구의1동,13586,23959,11215,12744,23190,10899,12291,769,316,453
"합계",광진구,구의2동,11545,25426,12058,13368,24774,11780,12994,652,278,374
"합계",광진구,구의3동,12041,27676,13073,14603,27420,12971,14449,256,102,154
"합계",동대문구,소계,180852,373535,179162,194373,352848,171755,181093,20687,7407,13280
"합계",동대문구,신설동,9590,17129,8289,8840,16383,8068,8315,746,221,525
"합계",동대문구,용두동,12851,23773,11507,12266,22698,11122,11576,1075,385,690
"합계",동대문구,제기동,12875,24905,12396,12509,22176,11417,10759,2729,979,1750
"합계",동대문구,전농1동,16513,33541,16411,17130,32499,16041,16458,1042,370,672
"합계",동대문구,전농2동,7353,17636,8323,9313,17148,8151,8997,488,172,316
"합계",동대문구,답십리1동,12993,28003,13318,14685,27536,13126,14410,467,192,275
"합계",동대문구,답십리2동,12673,27555,13164,14391,27164,12997,14167,391,167,224
"합계",동대문구,장안1동,18667,37971,18333,19638,37060,18041,19019,911,292,619
"합계",동대문구,장안2동,15074,33459,16392,17067,32945,16189,16756,514,203,311
"합계",동대문구,청량리동,9900,18768,9090,9678,18173,8867,9306,595,223,372
"합계",동대문구,회기동,6770,13758,6054,7704,10311,4872,5439,3447,1182,2265
"합계",동대문구,휘경1동,9043,19324,8670,10654,16799,7845,8954,2525,825,1700
"합계",동대문구,휘경2동,12698,24858,12175,12683,23520,11718,11802,1338,457,881
"합계",동대문구,이문1동,15710,34155,16061,18094,30528,14699,15829,3627,1362,2265
"합계",동대문구,이문2동,8142,18700,8979,9721,17908,8602,9306,792,377,415
"합계",중랑구,소계,190348,383387,186546,196841,376386,183583,192803,7001,2963,4038
"합계",중랑구,면목2동,12048,23348,11561,11787,22849,11341,11508,499,220,279
"합계",중랑구,면목4동,8916,17888,8837,9051,17451,8647,8804,437,190,247
"합계",중랑구,면목5동,6174,13923,6864,7059,13753,6806,6947,170,58,112
"합계",중랑구,면목본동,17739,32533,15958,16575,31534,15512,16022,999,446,553
"합계",중랑구,면목7동,10501,20856,10281,10575,20402,10087,10315,454,194,260
"합계",중랑구,면목3.8동,12723,24090,11865,12225,23424,11554,11870,666,311,355
"합계",중랑구,상봉1동,10351,22944,11060,11884,22746,10977,11769,198,83,115
"합계",중랑구,상봉2동,14003,22403,10448,11955,21862,10231,11631,541,217,324
"합계",중랑구,중화1동,8757,18142,8891,9251,17843,8783,9060,299,108,191
"합계",중랑구,중화2동,14374,26244,13224,13020,25530,12896,12634,714,328,386
"합계",중랑구,묵1동,14857,33091,15696,17395,32844,15595,17249,247,101,146
"합계",중랑구,묵2동,9196,17899,8658,9241,17541,8519,9022,358,139,219
"합계",중랑구,망우본동,18885,38539,18862,19677,37965,18627,19338,574,235,339
"합계",중랑구,망우3동,8253,15693,7800,7893,15146,7574,7572,547,226,321
"합계",중랑구,신내1동,14747,36787,17628,19159,36588,17547,19041,199,81,118
"합계",중랑구,신내2동,8824,19007,8913,10094,18908,8887,10021,99,26,73
"합계",성북구,소계,199807,436471,206585,229886,421762,201144,220618,14709,5441,9268
"합계",성북구,성북동,8040,16122,7417,8705,15513,7165,8348,609,252,357
"합계",성북구,삼선동,11481,22340,10355,11985,21574,10120,11454,766,235,531
"합계",성북구,동선동,9909,16124,6196,9928,14889,5916,8973,1235,280,955
"합계",성북구,돈암1동,5986,13741,6346,7395,13651,6312,7339,90,34,56
"합계",성북구,돈암2동,8519,22904,10793,12111,22781,10743,12038,123,50,73
"합계",성북구,안암동,10546,18161,8638,9523,15621,7815,7806,2540,823,1717
"합계",성북구,보문동,8068,16263,7729,8534,15700,7516,8184,563,213,350
"합계",성북구,정릉1동,7354,17736,8440,9296,17474,8340,9134,262,100,162
"합계",성북구,정릉2동,9511,21795,10342,11453,21445,10212,11233,350,130,220
"합계",성북구,정릉3동,7976,15540,7525,8015,13856,6787,7069,1684,738,946
"합계",성북구,정릉4동,10759,23941,11217,12724,23406,11083,12323,535,134,401
"합계",성북구,길음1동,12793,35463,16771,18692,35307,16716,18591,156,55,101
"합계",성북구,길음2동,8641,21496,10221,11275,21358,10164,11194,138,57,81
"합계",성북구,종암동,17221,39116,18986,20130,36707,18044,18663,2409,942,1467
"합계",성북구,월곡1동,10583,24722,11820,12902,24433,11715,12718,289,105,184
"합계",성북구,월곡2동,9640,19196,8952,10244,18413,8669,9744,783,283,500
"합계",성북구,장위1동,10596,22793,11086,11707,22526,10976,11550,267,110,157
"합계",성북구,장위2동,7842,16065,7842,8223,15678,7679,7999,387,163,224
"합계",성북구,장위3동,7684,18885,9200,9685,18710,9143,9567,175,57,118
"합계",성북구,석관동,16658,34068,16709,17359,32720,16029,16691,1348,680,668
"합계",강북구,소계,142815,285435,136072,149363,278041,133590,144451,7394,2482,4912
"합계",강북구,삼양동,11714,24482,11977,12505,24226,11891,12335,256,86,170
"합계",강북구,미아동,11806,21137,9937,11200,20128,9620,10508,1009,317,692
"합계",강북구,송중동,13573,28074,13318,14756,27189,12937,14252,885,381,504
"합계",강북구,송천동,12121,23191,11364,11827,22649,11145,11504,542,219,323
"합계",강북구,삼각산동,11510,29904,14286,15618,29803,14250,15553,101,36,65
"합계",강북구,번1동,9676,17113,8232,8881,15932,7810,8122,1181,422,759
"합계",강북구,번2동,7391,14329,6808,7521,14155,6744,7411,174,64,110
"합계",강북구,번3동,7516,15409,7078,8331,15343,7058,8285,66,20,46
"합계",강북구,수유1동,10468,19829,9554,10275,19241,9386,9855,588,168,420
"합계",강북구,수유2동,9649,20039,9414,10625,19775,9332,10443,264,82,182
"합계",강북구,수유3동,13608,23936,11259,12677,22303,10779,11524,1633,480,1153
"합계",강북구,우이동,9656,19600,9274,10326,19364,9194,10170,236,80,156
"합계",강북구,인수동,14127,28392,13571,14821,27933,13444,14489,459,127,332
"합계",도봉구,소계,139118,301457,144981,156476,298225,143845,154380,3232,1136,2096
"합계",도봉구,창1동,10584,22892,10810,12082,22638,10705,11933,254,105,149
"합계",도봉구,창2동,12759,27810,13364,14446,27471,13231,14240,339,133,206
"합계",도봉구,창3동,6332,12681,6305,6376,12554,6260,6294,127,45,82
"합계",도봉구,창4동,11300,25971,12339,13632,25856,12290,13566,115,49,66
"합계",도봉구,창5동,10332,23397,11064,12333,23234,11006,12228,163,58,105
"합계",도봉구,도봉1동,10260,19542,9754,9788,19352,9686,9666,190,68,122
"합계",도봉구,도봉2동,11829,25720,12445,13275,25568,12380,13188,152,65,87
"합계",도봉구,쌍문1동,9778,21003,9797,11206,20495,9714,10781,508,83,425
"합계",도봉구,쌍문2동,8424,17507,8380,9127,17257,8243,9014,250,137,113
"합계",도봉구,쌍문3동,8216,16268,7677,8591,15893,7571,8322,375,106,269
"합계",도봉구,쌍문4동,7091,17595,8258,9337,17534,8242,9292,61,16,45
"합계",도봉구,방학1동,13244,28080,13801,14279,27706,13657,14049,374,144,230
"합계",도봉구,방학2동,9043,17673,8829,8844,17426,8724,8702,247,105,142
"합계",도봉구,방학3동,9926,25318,12158,13160,25241,12136,13105,77,22,55
"합계",노원구,소계,217498,486509,232025,254484,481053,229866,251187,5456,2159,3297
"합계",노원구,월계1동,10317,21110,10745,10365,20226,10361,9865,884,384,500
"합계",노원구,월계2동,11572,24724,11801,12923,24513,11716,12797,211,85,126
"합계",노원구,월계3동,12809,27773,13159,14614,27597,13103,14494,176,56,120
"합계",노원구,공릉1동,18941,36123,17318,18805,35241,16953,18288,882,365,517
"합계",노원구,공릉2동,18060,41657,19972,21685,40662,19658,21004,995,314,681
"합계",노원구,하계1동,12253,26044,12378,13666,25321,12049,13272,723,329,394
"합계",노원구,하계2동,7576,19503,9244,10259,19450,9228,10222,53,16,37
"합계",노원구,중계본동,7844,22034,10627,11407,21967,10600,11367,67,27,40
"합계",노원구,중계1동,8922,25830,12622,13208,25735,12589,13146,95,33,62
"합계",노원구,중계4동,8108,18718,9004,9714,18526,8861,9665,192,143,49
"합계",노원구,중계2.3동,14901,31241,14096,17145,31117,14055,17062,124,41,83
"합계",노원구,상계1동,15648,36018,17225,18793,35842,17155,18687,176,70,106
