"동별(1)",동별(2),동별(3),2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",영등포구,대림2동,6866,16624,8354,8270,11457,5544,5913,5167,2810,2357
"합계",영등포구,대림3동,10275,23824,11909,11915,20689,10248,10441,3135,1661,1474
"합계",동작구,소계,188064,384204,184273,199931,371999,179484,192515,12205,4789,7416
"합계",동작구,노량진1동,18536,35378,17936,17442,33529,17192,16337,1849,744,1105
"합계",동작구,노량진2동,5449,8585,4554,4031,7615,4063,3552,970,491,479
"합계",동작구,상도1동,23253,46035,21938,24097,43968,21292,22676,2067,646,1421
"합계",동작구,상도2동,12317,27174,12772,14402,26716,12623,14093,458,149,309
"합계",동작구,상도3동,12241,23810,11203,12607,23331,11008,12323,479,195,284
"합계",동작구,상도4동,14784,29145,14093,15052,28647,13925,14722,498,168,330
"합계",동작구,흑석동,13027,32039,15025,17014,29844,14301,15543,2195,724,1471
"합계",동작구,사당1동,14004,22591,10808,11783,22100,10624,11476,491,184,307
"합계",동작구,사당2동,12499,27867,13310,14557,27594,13187,14407,273,123,150
"합계",동작구,사당3동,10437,23435,11268,12167,23223,11188,12035,212,80,132
"합계",동작구,사당4동,7322,13744,6536,7208,13549,6452,7097,195,84,111
"합계",동작구,사당5동,6609,13748,6564,7184,13631,6513,7118,117,51,66
"합계",동작구,대방동,16076,33875,15871,18004,33466,15712,17754,409,159,250
"합계",동작구,신대방1동,10476,24499,11795,12704,22795,10912,11883,1704,883,821
"합계",동작구,신대방2동,11034,22279,10600,11679,21991,10492,11499,288,108,180
"합계",관악구,소계,291311,497589,247915,249674,477797,240032,237765,19792,7883,11909
"합계",관악구,보라매동,12967,23439,11393,12046,22892,11157,11735,547,236,311
"합계",관악구,청림동,6343,14303,6817,7486,14155,6753,7402,148,64,84
"합계",관악구,성현동,12913,29624,14231,15393,29398,14131,15267,226,100,126
"합계",관악구,행운동,18359,29105,13859,15246,28378,13630,14748,727,229,498
"합계",관악구,낙성대동,12657,18408,9242,9166,17739,8951,8788,669,291,378
"합계",관악구,청룡동,24943,37244,17691,19553,36060,17257,18803,1184,434,750
"합계",관악구,은천동,16065,31831,15422,16409,31284,15221,16063,547,201,346
"합계",관악구,중앙동,10575,15570,7348,8222,15147,7191,7956,423,157,266
"합계",관악구,인헌동,15115,25445,12222,13223,24971,12049,12922,474,173,301
"합계",관악구,남현동,9825,17377,8363,9014,17157,8282,8875,220,81,139
"합계",관악구,서원동,15550,23904,12377,11527,22797,11993,10804,1107,384,723
"합계",관악구,신원동,11391,18075,9127,8948,17153,8744,8409,922,383,539
"합계",관악구,서림동,15888,25218,13825,11393,23572,13184,10388,1646,641,1005
"합계",관악구,신사동,14822,24235,11935,12300,22073,10950,11123,2162,985,1177
"합계",관악구,신림동,19787,24850,13180,11670,23533,12743,10790,1317,437,880
"합계",관악구,난향동,6125,14386,6998,7388,14266,6941,7325,120,57,63
"합계",관악구,조원동,12683,21382,10560,10822,19910,9854,10056,1472,706,766
"합계",관악구,대학동,18629,29665,17164,12501,25069,15374,9695,4596,1790,2806
"합계",관악구,삼성동,9804,20098,9918,10180,19909,9842,10067,189,76,113
"합계",관악구,미성동,14081,28938,14108,14830,28303,13839,14464,635,269,366
"합계",관악구,난곡동,12789,24492,12135,12357,24031,11946,12085,461,189,272
"합계",서초구,소계,173895,419310,198980,220330,414383,196662,217721,4927,2318,2609
"합계",서초구,서초1동,9571,20260,9675,10585,20034,9588,10446,226,87,139
"합계",서초구,서초2동,11555,25272,11869,13403,24832,11652,13180,440,217,223
"합계",서초구,서초3동,15710,32546,15320,17226,32113,15115,16998,433,205,228
"합계",서초구,서초4동,10713,30237,14709,15528,29962,14573,15389,275,136,139
"합계",서초구,잠원동,13135,34373,16535,17838,34069,16399,17670,304,136,168
"합계",서초구,반포본동,101,209,101,108,204,97,107,5,4,1
"합계",서초구,반포1동,14428,33608,16393,17215,33083,16183,16900,525,210,315
"합계",서초구,반포2동,8611,26689,12603,14086,26533,12528,14005,156,75,81
"합계",서초구,반포3동,8228,23660,11232,12428,23580,11194,12386,80,38,42
"합계",서초구,반포4동,6854,18698,8761,9937,17878,8315,9563,820,446,374
"합계",서초구,방배본동,7825,20019,9200,10819,19822,9097,10725,197,103,94
"합계",서초구,방배1동,7560,16478,7674,8804,16309,7596,8713,169,78,91
"합계",서초구,방배2동,7735,17499,8128,9371,17377,8080,9297,122,48,74
"합계",서초구,방배3동,5768,15522,7349,8173,15372,7282,8090,150,67,83
"합계",서초구,방배4동,10649,26014,11841,14173,25660,11691,13969,354,150,204
"합계",서초구,양재1동,17450,40543,19092,21451,40218,18960,21258,325,132,193
"합계",서초구,양재2동,11020,21045,10540,10505,20774,10384,10390,271,156,115
"합계",서초구,내곡동,6982,16638,7958,8680,16563,7928,8635,75,30,45
"합계",강남구,소계,244779,558993,266597,292396,552830,263818,289012,6163,2779,3384
"합계",강남구,신사동,6535,15172,7095,8077,14969,6998,7971,203,97,106
"합계",강남구,논현1동,13458,21436,10074,11362,20589,9740,10849,847,334,513
"합계",강남구,논현2동,11108,20496,9524,10972,20085,9341,10744,411,183,228
"합계",강남구,압구정동,9953,25660,11918,13742,25429,11802,13627,231,116,115
"합계",강남구,청담동,11511,26619,12442,14177,26344,12292,14052,275,150,125
"합계",강남구,삼성1동,5554,13058,6396,6662,12752,6194,6558,306,202,104
"합계",강남구,삼성2동,13798,30490,14509,15981,30171,14353,15818,319,156,163
"합계",강남구,대치1동,7195,23545,11835,11710,23509,11813,11696,36,22,14
"합계",강남구,대치2동,13411,38415,19542,18873,38227,19415,18812,188,127,61
"합계",강남구,대치4동,9584,18369,8732,9637,18018,8594,9424,351,138,213
"합계",강남구,역삼1동,23862,35660,17330,18330,34228,16744,17484,1432,586,846
"합계",강남구,역삼2동,15622,36343,16864,19479,35942,16700,19242,401,164,237
"합계",강남구,도곡1동,8483,20885,9781,11104,20764,9733,11031,121,48,73
"합계",강남구,도곡2동,11281,31619,14579,17040,31502,14504,16998,117,75,42
"합계",강남구,개포1동,9127,26544,12780,13764,26479,12745,13734,65,35,30
"합계",강남구,개포2동,14175,40206,19458,20748,40040,19386,20654,166,72,94
"합계",강남구,개포3동,6943,15474,7414,8060,15404,7387,8017,70,27,43
"합계",강남구,개포4동,10049,23179,11126,12053,22999,11047,11952,180,79,101
"합계",강남구,세곡동,20172,45844,21390,24454,45640,21317,24323,204,73,131
"합계",강남구,일원본동,7926,22267,10996,11271,22246,10988,11258,21,8,13
"합계",강남구,일원1동,7468,14184,6755,7429,14039,6698,7341,145,57,88
"합계",강남구,수서동,7564,13528,6057,7471,13454,6027,7427,74,30,44
"합계",송파구,소계,289693,656460,313815,342645,650258,311081,339177,6202,2734,3468
"합계",송파구,풍납1동,5111,10948,5359,5589,10596,5181,5415,352,178,174
"합계",송파구,풍납2동,10624,23181,10908,12273,22954,10816,12138,227,92,135
"합계",송파구,거여1동,5667,11861,5813,6048,11770,5779,5991,91,34,57
"합계",송파구,거여2동,10060,23002,11069,11933,22906,11032,11874,96,37,59
"합계",송파구,마천1동,7265,15213,7714,7499,15079,7664,7415,134,50,84
"합계",송파구,마천2동,8395,17026,8641,8385,16863,8567,8296,163,74,89
"합계",송파구,방이1동,6134,14843,7098,7745,14748,7061,7687,95,37,58
"합계",송파구,방이2동,16259,27024,12090,14934,26301,11793,14508,723,297,426
"합계",송파구,오륜동,5872,17401,8574,8827,17369,8558,8811,32,16,16
"합계",송파구,오금동,15738,37236,17954,19282,36911,17799,19112,325,155,170
"합계",송파구,송파1동,12504,23154,10663,12491,22839,10520,12319,315,143,172
"합계",송파구,송파2동,6980,17746,8514,9232,17616,8459,9157,130,55,75
"합계",송파구,석촌동,17077,30423,14282,16141,29872,14068,15804,551,214,337
"합계",송파구,삼전동,16002,28480,13297,15183,28062,13123,14939,418,174,244
"합계",송파구,가락본동,11714,24808,12256,12552,24530,12136,12394,278,120,158
"합계",송파구,가락1동,9757,27418,13186,14232,27053,13004,14049,365,182,183
"합계",송파구,가락2동,11749,28608,13946,14662,28431,13871,14560,177,75,102
"합계",송파구,문정1동,8999,19793,9692,10101,19611,9605,10006,182,87,95
"합계",송파구,문정2동,15800,28751,13156,15595,28548,13068,15480,203,88,115
"합계",송파구,장지동,13239,30851,14747,16104,30689,14680,16009,162,67,95
"합계",송파구,위례동,15037,45004,21806,23198,44859,21767,23092,145,39,106
"합계",송파구,잠실본동,15963,27442,12970,14472,26925,12734,14191,517,236,281
"합계",송파구,잠실2동,11511,34561,16531,18030,34460,16470,17990,101,61,40
"합계",송파구,잠실3동,11767,33495,15834,17661,33358,15762,17596,137,72,65
"합계",송파구,잠실4동,11319,32632,15698,16934,32554,15661,16893,78,37,41
"합계",송파구,잠실6동,5782,16247,7687,8560,16060,7582,8478,187,105,82
"합계",송파구,잠실7동,3368,9312,4330,4982,9294,4321,4973,18,9,9
"합계",강동구,소계,223649,503821,245045,258776,499011,242958,256053,4810,2087,2723
"합계",강동구,강일동,13898,34415,16415,18000,34223,16353,17870,192,62,130
"합계",강동구,상일1동,13539,39003,19120,19883,38853,19044,19809,150,76,74
"합계",강동구,상일2동,5266,13181,6155,7026,13130,6136,6994,51,19,32
"합계",강동구,명일1동,10025,24822,12143,12679,24707,12101,12606,115,42,73
"합계",강동구,명일2동,6433,16909,8237,8672,16804,8181,8623,105,56,49
"합계",강동구,고덕1동,8141,23687,12187,11500,23603,12144,11459,84,43,41
"합계",강동구,고덕2동,10362,26400,13123,13277,26176,12982,13194,224,141,83
"합계",강동구,암사1동,15859,32809,16116,16693,32502,15993,16509,307,123,184
"합계",강동구,암사2동,6413,14540,7049,7491,14472,7027,7445,68,22,46
"합계",강동구,암사3동,6037,16861,8155,8706,16821,8137,8684,40,18,22
"합계",강동구,천호1동,12420,24133,11762,12371,23858,11662,12196,275,100,175
"합계",강동구,천호2동,19297,36660,17734,18926,36019,17456,18563,641,278,363
"합계",강동구,천호3동,15830,28327,13533,14794,27670,13189,14481,657,344,313
"합계",강동구,성내1동,8239,19004,9043,9961,18834,8988,9846,170,55,115
"합계",강동구,성내2동,13917,24475,11802,12673,23832,11485,12347,643,317,326
"합계",강동구,성내3동,10664,21885,10568,11317,21516,10430,11086,369,138,231
"합계",강동구,길동,24369,48372,23345,25027,47898,23185,24713,474,160,314
"합계",강동구,둔촌1동,11969,33052,16209,16843,32933,16169,16764,119,40,79
"합계",강동구,둔촌2동,10971,25286,12349,12937,25160,12296,12864,126,53,73
