자치구,관서명,구분,주소,위도,경도
관악구,당곡지구대,지구대,서울특별시 관악구  남부순환로191길 12 당곡지구대,37.4860068452142,126.93436440338
관악구,낙성대지구대,지구대,"서울특별시 관악구  봉천로 540, 낙성대지구대",37.4783269065956,126.95759572971
관악구,신림지구대,지구대,서울특별시 관악구  남부순환로188길 12 신림지구대,37.4840164722611,126.933317348962
관악구,관악산지구대,지구대,서울특별시 관악구  신림로 178 관악산지구대,37.473859396558,126.935263149906
관악구,구암지구대,지구대,서울특별시 관악구 은천로 93,37.4873527233282,126.945428874003
관악구,남현파출소,파출소,서울특별시 관악구  남현1가길 29 남현파출소,37.4746878600089,126.977875262005
관악구,난우파출소,파출소,서울특별시 관악구  난곡로64 난우파출소,37.4611182549024,126.919249954798
관악구,미성파출소,파출소,서울특별시 관악구  난곡로64가길 31,37.479924213477,126.915610467133
관악구,신사지구대,지구대,서울특별시 관악구  신사로 106,37.4872984954348,126.914205074264
강서구,화곡지구대,지구대,서울특별시 강서구  화곡로 308,37.5515583488889,126.84965648419
강서구,공항지구대,지구대,서울특별시 강서구  방화동로 5 ,37.5623696520713,126.808278457076
강서구,까치산지구대,지구대,서울특별시 강서구  강서로7길 39,37.5293516336519,126.845560142507
강서구,가양지구대,지구대,서울특별시 강서구 화곡로65길 63,37.559249129802,126.850122609392
강서구,곰달래지구대,지구대,서울특별시 강서구 곰달래로59길 12,37.5328910922891,126.863140780977
강서구,방화3파출소,파출소,서울특별시 강서구  금낭화로26길 16,37.5798053719259,126.814682089465
강서구,염창지구대,지구대,서울특별시 강서구 양천로67길 101,37.5555167163664,126.871575534427
강서구,등촌2파출소,파출소,서울특별시 강서구  등촌로 167 ,37.5448086639425,126.861869176287
강서구,발산지구대,지구대,서울특별시 강서구  수명로2길 46 ,37.5494063246067,126.826042665559
강서구,화곡3파출소,파출소,서울특별시 강서구  강서로45다길 71,37.5446566550337,126.835171321129
강서구,마곡지구대,지구대,서울특별시 강서구 마곡중앙5로 32,37.5672439954454,126.824231110067
강동구,천호지구대,지구대,"서울특별시 강동구  구천면로 141, 천호지구대",37.5425732089475,127.120777276664
강동구,길동지구대,지구대,서울특별시 강동구 양재대로96길 35,37.5294468173711,127.139188803054
강동구,성내지구대,지구대,서울특별시 강동구 성내로 55 (성내동),37.528637992313,127.126362909521
강동구,암사지구대,지구대,서울특별시 강동구  고덕로 137 암사지구대,37.554996356036,127.140784057162
강동구,둔촌파출소,파출소,서울특별시 강동구 양재대로 1340 (둔촌동),37.525777860061,127.135931466677
강동구,명일파출소,파출소,서울특별시 강동구 동남로 895 명일파출소,37.5536441814625,127.156088167669
강동구,강일파출소,파출소,서울특별시 강동구  아리수로91길 20,37.5648715423731,127.173237989766
강동구,고덕파출소,파출소,서울특별시 강동구  고덕로 61길61,37.5573242394469,127.151712873072
강동구,상일파출소,파출소,서울특별시 강동구 고덕로 80길 7,37.5562444204205,127.165767403457
성북구,석관파출소,파출소,서울특별시 성북구  화랑로32가길 20 석관파출소,37.6089598264198,127.055269047643
성북구,장위지구대,지구대,서울특별시 성북구 장월로174 장위지구대,37.6194566597845,127.053803736786
성북구,월곡지구대,지구대,서울특별시 성북구  종암로32길 5 월곡지구대,37.6044288636147,127.032401361745
성북구,종암파출소,파출소,서울특별시 성북구  종암로23길 52,37.6001000928042,127.031259034718
구로구,신구로지구대,지구대,서울특별시 구로구 새말로 26 신구로지구대,37.5022709315884,126.88389609812
구로구,오류지구대,지구대,서울특별시 구로구  고척로1길 34 오류지구대,37.4948162993423,126.838842200207
구로구,구일지구대,지구대,서울특별시 구로구  도림로 63 구일지구대,37.4892521149095,126.890700200107
구로구,고척지구대,지구대,서울특별시 구로구 중앙로 15길 30 고척지구대,37.5066010740517,126.858302326165
구로구,개봉지구대,지구대,서울특별시 구로구  개봉로18길 5 개봉지구대,37.4918322570645,126.856448965021
구로구,구로3파출소,파출소,서울특별시 구로구  디지털로31길 86 구로3파출소,37.4866606515713,126.891399918226
구로구,가리봉파출소,파출소,서울특별시 구로구 남부순환로 1275 가리봉파출소,37.4792089328892,126.892660335738
구로구,천왕파출소,파출소,서울특별시 구로구 오리로 1102-8,37.4838544428815,126.842564336077
서초구,반포지구대,지구대,서울특별시 서초구 신반포로190,37.5059651429834,127.005186250271
서초구,서초2파출소,파출소,서울 서초구 서운로 38,37.4875206192926,127.028982195737
서초구,서초3파출소,파출소,서울 서초구 반포대로30길 40,37.4919750194143,127.010793588595
서초구,양재파출소,파출소,서울 서초구 남부순환로356길 9,37.4845457734066,127.037855508801
서초구,서초파출소,파출소,서울 서초구 효령로 297,37.4852860553806,127.016737938236
서초구,우면파출소,파출소,서울 서초구 양재대로2길 106,37.4561084600715,127.016008083183
서초구,내곡파출소,파출소,서울특별시 서초구 헌릉로 226,37.4549892093417,127.064800488558
양천구,목1지구대,지구대,서울특별시 양천구  목동동로 373,37.535155935841,126.878458075374
양천구,목2지구대,지구대,서울특별시 양천구  등촌로 166,37.544527409853,126.862364416594
양천구,신정1지구대,지구대,서울특별시 양천구  중앙로32길 65,37.5202997079635,126.860768123276
양천구,신정2지구대,지구대,서울특별시 양천구 목동로17길 5,37.5244524591257,126.863575783703
양천구,신월2지구대,지구대,서울특별시 양천구 지양로 55,37.54102212848287,126.83408594025511
양천구,신월1파출소,파출소,서울특별시 양천구  남부순환로59길 8 ,37.5320545919305,126.832251816573
양천구,신정3파출소,파출소,서울특별시 양천구  중앙로 205,37.5149191698884,126.854985652216
양천구,신월5파출소,파출소,서울특별시 양천구  남부순환로31길 37,37.5390738299023,126.830673512582
송파구,방이지구대,지구대,서울특별시 송파구  양재대로71길 5-6,37.5102499083954,127.12574636006
송파구,잠실지구대,지구대,서울특별시 송파구  올림픽로 101,37.5120988483068,127.082140287795
송파구,삼전지구대,지구대,서울특별시 송파구  백제고분로 238,37.5026745946968,127.092748887805
송파구,가락지구대,지구대,서울특별시 송파구  중대로 179,37.4981844710972,127.125313358803
송파구,문정지구대,지구대,서울특별시 송파구 충민로2길 18,37.4782186791907,127.126925891212
송파구,마천파출소,파출소,서울특별시 송파구  마천로 41길 8,37.4970267513558,127.148210129756
송파구,거여파출소,파출소,서울특별시 송파구 새말로15길 9,37.485159448483,127.129717275738
송파구,풍납파출소,파출소,서울특별시 송파구  풍성로 42,37.5341648236007,127.117094888155
송파구,오금파출소,파출소,서울특별시 송파구  마천로8길 17,37.5068995168609,127.128101023042
